Epoch,Train_Loss,Class_Loss,Cons_Loss,Val_Loss,Val_IoU,Mode
1,0.6521239524537866,0,0,0.7832198888063431,0.12163066677749157,Standard
2,0.3151934038509022,0,0,0.4873594045639038,0.3449450954794884,Standard
3,0.20417082851583307,0,0,0.2458241879940033,0.605768546462059,Standard
4,0.179778898304159,0,0,0.21740441024303436,0.6434031426906586,Standard
5,0.16193864020434293,0,0,0.19828453660011292,0.6694793254137039,Standard
6,0.14720184423706748,0,0,0.25389938056468964,0.5962297767400742,Standard
7,0.1381168934431943,0,0,0.18129774928092957,0.6933026313781738,Standard
8,0.12658911672505466,0,0,0.18691588938236237,0.6854424774646759,Standard
9,0.12289239330725236,0,0,0.1890476793050766,0.6823751628398895,Standard
10,0.11798204346136613,0,0,0.17114320397377014,0.707804262638092,Standard
11,0.10575663501566107,0,0,0.17928744852542877,0.6962227821350098,Standard
12,0.09981800751252608,0,0,0.1677355319261551,0.7130317538976669,Standard
13,0.09216802228580821,0,0,0.16531959176063538,0.7163960933685303,Standard
14,0.0856093628840013,0,0,0.1919785588979721,0.6788769662380219,Standard
15,0.07841965014284308,0,0,0.17937524616718292,0.6962045580148697,Standard
16,0.07341805371371182,0,0,0.1659066379070282,0.7154981940984726,Standard
17,0.06604009053923866,0,0,0.19743072986602783,0.6709773689508438,Standard
18,0.06127826734022661,0,0,0.18412309885025024,0.6890700459480286,Standard
19,0.061821260235526344,0,0,0.18353651463985443,0.6906328201293945,Standard
20,0.053967245600440285,0,0,0.16639448702335358,0.7149648070335388,Standard
