Epoch,Train_Loss,Class_Loss,Cons_Loss,Val_Loss,Val_IoU,Mode
1,3.2016236186027527,0,0,1.2559998333454132,0.08896178565919399,Standard
2,0.7064966491677545,0,0,0.7838130593299866,0.22261301055550575,Standard
3,0.37736448781056836,0,0,0.3534502908587456,0.5649687796831131,Standard
4,0.2939097285270691,0,0,0.33857735991477966,0.5243664905428886,Standard
5,0.25752774896946823,0,0,0.30094511061906815,0.5926325768232346,Standard
6,0.24782165478576312,0,0,0.4177473559975624,0.4309496358036995,Standard
7,0.21790591491894287,0,0,0.3741677328944206,0.4717509597539902,Standard
8,0.19953181052749808,0,0,0.25970030575990677,0.6719615012407303,Standard
9,0.1869430108503862,0,0,0.30864744633436203,0.5342486053705215,Standard
10,0.17251591452143408,0,0,0.40708664804697037,0.6492901593446732,Standard
11,0.16412598436528986,0,0,0.25240177661180496,0.6342191249132156,Standard
12,0.15879205004735428,0,0,0.2635946199297905,0.6162961721420288,Standard
13,0.14812455935911698,0,0,0.2464628405869007,0.6509755551815033,Standard
14,0.1395383822647008,0,0,0.458644837141037,0.6532716155052185,Standard
15,0.14403308216821065,0,0,0.2873699888586998,0.567717969417572,Standard
16,0.13249268653717908,0,0,0.2504774332046509,0.6407873779535294,Standard
17,0.12329769371585413,0,0,0.2941228151321411,0.6893631815910339,Standard
18,0.11263165216554295,0,0,0.32046011090278625,0.5346877053380013,Standard
19,0.10860915346579118,0,0,0.5032229050993919,0.6551618427038193,Standard
20,0.10500915348529816,0,0,0.4946063905954361,0.6449786424636841,Standard
